ID;Statement;Keywords;Degree difficulty;Course;Chapter;University
1;Which of the following is an operating system?;system, operating;0.86;ICT;Operating systems;University of Pitesti
2;Two differences between Windows and Linux are:;system, operating, Windows;0.26;ICT;Operating systems;University of Pitesti
3;"What is the file path for the file ""hello.txt"" found in partition D:, in the folder ""Lucrari""?";path, system;0.03;ICT;Operating systems;University of Pitesti
4;How many bits form a byte?;storage, system;0.97;ICT;Operating systems;University of Pitesti
5;Which of these variants is a storage-related hardware?;hardware, storage, system;0.32;ICT;Operating systems;University of Pitesti
6;The Microsoft Word program is;Word, category;0.34;ICT;Microsoft Word;"""1 Decembrie 1918"" University of Alba-Iulia"
7;The extension of a file created in Word is:;Word, extension;0.82;ICT;Microsoft Word;"""1 Decembrie 1918"" University of Alba-Iulia"
8;Selecting the entire content of a document is done with the key combination:;keyboard shortcut, selecting, Word;0.11;ICT;Microsoft Word;"""1 Decembrie 1918"" University of Alba-Iulia"
9;The process of removing an unwanted part of an image is called;image, editing, Word;0.99;ICT;Microsoft Word;"""1 Decembrie 1918"" University of Alba-Iulia"
10;What is the name of the direction of a page used for viewing and printing?;Word, formatting;0.35;ICT;Microsoft Word;University of Pitesti
11;A program that is used to view websites is called:;browser, Internet;0.56;ICT;Internet;"""1 Decembrie 1918"" University of Alba-Iulia"
12;What is the term for unsolicited emails?;Internet, email;0.59;ICT;Internet;University of Pitesti
13;TCP/IP este:;protocol, Internet;0.99;ICT;Internet;University of Pitesti
14;URL means:;browser, URL, Internet;0.16;ICT;Internet;University of Pitesti
15;Which of the following variants is not a browser?;browser, Internet;0.02;ICT;Internet;University of Pitesti
16;The step-by-step procedure for solving a problem is called:;programming, algorithm;0.67;Programming;Algorithms;University of Pitesti
17;This characteristic of algorithms often draws the line between what is feasible and what is impossible.;programming, algorithm, characteristic;0.17;Programming;Algorithms;University of Pitesti
18;A water lily covers the surface of the water in 30 days. How many days do it take to cover half the surface, if the water lily doubles its surface every day?;programming, exercise;0.57;Programming;Algorithms;University of Pitesti
19;What is the result of the expression: (5 > 7) AND (0 < 2 * 5 < 15)?;programming, boolean, exercise;0.99;Programming;Algorithms;University of Pitesti
20;What is the minimum number of comparisons to sort ascendingly the sequence of numbers: 2, 3, 5, 1, 4?;programming, exercise, sort;0.07;Programming;Algorithms;University of Pitesti
21;What is the name of the intersection of a column and a row in a worksheet?;Excel, row, line, cell;0.33;Programming;Algorithms;University of Pitesti
22;Ce funcție din Excel returnează suma unui interval de numere?;function, Excel, sum;0.17;ICT;Microsoft Excel;University of Pitesti
23;The process of arranging the elements of a column in a particular sequence or order is known as:;sort, Excel;0.65;ICT;Microsoft Excel;University of Pitesti
24;In Excel, the rows are numbered with:;Excel, row, line, cell;0.74;ICT;Microsoft Excel;University of Pitesti
25;Which function in Excel returns the average of a range of numbers?;function, Excel, average;0.16;ICT;Microsoft Excel;University of Pitesti
26;Which of the following is an operating system?;operating, system;0.6;ICT;Operating systems;University of Pitesti
27;Define a mobile operating system.;operating, system;0.16;ICT;Operating systems;University of Pitesti
28;Give two differences between Windows and Linux systems.;operating, Windows;0.33;ICT;Operating systems;University of Pitesti
29;Which is the file path for the file “hello.txt” found on Desktop?;path, file;0.73;ICT;Operating systems;University of Pitesti
30;Describe the Linux operating system in 300 words.;operating, Linux;0.37;ICT;Operating systems;University of Pitesti
31;Which library is included in C++ to work with files?;C++, library;0.45;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
32;Write a code to determine whether a string is a palindrome.;string, palindrome;0.14;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
33;What is potentially wrong with the following Android code?;Android, code;0.96;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
34;Should you encrypt confidential data?;encryption, data;0.92;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
35;Which of these is an item of hardware to do with computers?;hardware, item;0.07;ICT;Operating systems;University of Pitesti
36;Which is the best application to use to write a letter?;application, writing;0.26;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
37;How many bits make a byte?;bite, byte;0.19;ICT;Operating systems;University of Pitesti
38;First search engine on internet is:;search, engine;1;ICT;Internet;University of Pitesti
39;Give two differences between Windows and Android systems.;operating, Windows;0.23;ICT;Operating systems;University of Pitesti
40;Define a desktop operating system.;operating, system;0.71;ICT;Operating systems;University of Pitesti
41;Microsoft Windows is an:;operating, Windows;0.96;ICT;Operating systems;University of Pitesti
42;Mobile device applications are:;operating, applications;0.01;ICT;Operating systems;University of Pitesti
43;Which of these is a free operating system?;operating, system;0.69;ICT;Operating systems;University of Pitesti
44;What is a URL?;Internet, link;0.77;ICT;Internet;University of Pitesti
45;1 GB is equal to;hardware, gigabyte;0.5;ICT;Operating systems;University of Pitesti
46;Explain the key idea of branch and bound algorithms.;algorithm, graph;0.58;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
47;Use the greedy coin-change algorithm to make change using quarters (25 cents), dimes (10 cents), nickels (5 cents), and pennies (1 cent), for 92 cents. How many coins did you use?;algorithm, greedy;0.98;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
48;Find out whether any number given is prime.;algorithm, prime;0.67;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
49;Find the largest value in an array.;algorithm, array;0.8;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
50;What is the extension of a file?;file, extension;0.33;ICT;Operating systems;University of Pitesti
51;What is the extension of a file?;file, extension;0.36;ICT;Operating systems;University of Pitesti
52;What is the role of the Start button on the taskbar?;Start, taskbar;0.87;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
53;How can a folder be created?;folder, operating;0.82;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
54;Find the maximum number between two given integers.;algorithm, maximum;0.04;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
55;What is a partition?;partition, operating;0.46;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
56;What is a file?;file, operating;0.83;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
57;What is a folder?;folder, operating;0.24;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
58;Define a window in the GUI of an operating system.;window, operating;0.11;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
59;What piece of hardware is the CPU?;hardware, operating;0.2;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
60;What is found by applying Euclid’s algorithm?;algorithm, Euclid;0.32;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
61;Write a program which counts  the b’s in “bibliography”.;algorithm, letter;0.76;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
62;What is a byte?;byte, operating;0.57;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
63;What is the decimal value of 01100010?;decimal, binary;0.84;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
64;What is a search engine?;Internet, search;0.2;ICT;Internet;University of Pitesti
65;Choose the search engine from the next variants:;Internet, search;0.01;ICT;Internet;University of Pitesti
66;What is a TCP/IP?;Internet, protocol;0.95;ICT;Internet;University of Pitesti
67;What is an algorithm?;algorithm, operating;0.21;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
68;Which of the algorithms finds the largest common divider of two numbers?;algorithm, Euclid;0.92;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
69;Write a short text about partitions.;partition, operating;0.07;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
70;A water lily covers the water surface in 30 days. How many days are needed for covering half the surface, if the lily is doubling its surface each day?;algorithm, water lily;0.5;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
71;What is the taskbar?;operating, taskbar;0.59;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
72;What is the taskbar?;operating, taskbar;0.38;ICT;Operating systems;"""1 Decembrie 1918"" University of Alba-Iulia"
73;What is wrong with the following piece of code?;algorithm, code;0.61;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
74;What is wrong with the following piece of code?;algorithm, code;0.16;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
75;What is an array?;programming, code;0.26;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
76;Which is the type used for characters in Java?;;1;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
77;Which is the solution for the equation 100*x=200?;;0.19;Mathematics;Equations;University of Agronomic Sciences and Veterinary Medicine Bucharest
78;Which is the integer which solves the inequation 2^x<1024?;;0.53;Mathematics;Equations;University of Agronomic Sciences and Veterinary Medicine Bucharest
79;Which is the account that registers the VAT in lei?;;0.12;Accounting;Accounts;University of Agronomic Sciences and Veterinary Medicine Bucharest
80;If 1+1=0, then 0+1=...?;;0.33;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
81;How many MB has a GB?;;0.85;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
82;Where are located the Ural Mountains?;;0.57;Geography;Landforms;University of Agronomic Sciences and Veterinary Medicine Bucharest
83;Write down the backtracking function for the dames problems.;;0.32;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
84;Which is the basic cell of the brain?;;0.13;Human anatomy;Nervous system;University of Pitesti
85;Write down the most important parts of a genetic algorithm.;;0.86;Programming;Algorithms;"""1 Decembrie 1918"" University of Alba-Iulia"
86;For the situation of the agromarketing , the following references can be made;;0.22;Marketing;Agromarketing;University of Agronomic Sciences and Veterinary Medicine Bucharest
87;Which of the stages of the transition were manifested in the periods mentioned below;;0.7;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
88;The importance of knowing access to healthy food is based on very important elements;;0.13;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
89;Which of the food consumption needs is manifested in humans;;0.22;Economics 101;Needs;University of Agronomic Sciences and Veterinary Medicine Bucharest
90;In organizing the study of the demand for food products and culinary preparations, certain principles must be taken into account;;0.64;Economics 101;Needs;University of Agronomic Sciences and Veterinary Medicine Bucharest
91;The behavior shown by the consumer is considered the last stage of the structure of purchase documents , these documents being;;0.23;Economics 101;Needs;University of Agronomic Sciences and Veterinary Medicine Bucharest
92;What is the element that attracts, first of all , a consumer when he wants to buy a product;;0.43;Economics 101;Needs;University of Agronomic Sciences and Veterinary Medicine Bucharest
93;The amounts obtained in the case of organic crops are;;0.28;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
94;As a subdivision of the global market we have;;0.22;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
95;If we study the socioeconomic characteristics, attitudes, opinions, motivations and behaviors of different people customers , we can use the following forms of inquiry;;0.22;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
96;The seasonality coefficients are established;;0.52;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
97;In agromarketing  knowledge of the forecasting horizon of agricultural markets in Romania can be delimited in the following forms;;0.79;Marketing;Agromarketing;University of Agronomic Sciences and Veterinary Medicine Bucharest
98;Do you think that those companies that are identified as brands, having a high notoriety, should allocate more funds for their promotion;;0.39;Marketing;Agromarketing;University of Agronomic Sciences and Veterinary Medicine Bucharest
99;What types of markets do you know;;0.89;Marketing;Agromarketing;University of Agronomic Sciences and Veterinary Medicine Bucharest
100;If we refer to the Reserve Fund (of the Romanian State), we must mention that;;0.57;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
101;If a person who comes from a country that is not a member of the European Union, establishes in Romania, a company dealing with the commercialization of agricultural products, this company;;0.45;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
102;What do you think is the biggest disadvantage of small farmers from those listed below;;0.05;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
103;What would be the advantage/s of the farmers if they were to associate;;0.24;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
104;Differentiated levels of sales expenses is determined by the factor:;;0.12;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
105;The notion of sector refers to;;0.04;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
106;The dimensional structure of the agro-food chain includes;;0.31;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
107;The following types of sectors can be defined;;0.45;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
108;SWOT analysis refers to;;0.04;Management;Analysis;University of Pitesti
109;The branch can be considered;;0.3;Management;Analysis;University of Pitesti
110;Production lines can be approached on several levels;;0.45;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
111;The main activities that define a sector can be considered;;0.15;Economics 101;Production chain;University of Agronomic Sciences and Veterinary Medicine Bucharest
112;The study of the agromarketing chain includes;;0.53;Economics 101;Production chain;University of Agronomic Sciences and Veterinary Medicine Bucharest
113;Which are considered subsectors functions?;;0.42;Economics 101;Production chain;University of Agronomic Sciences and Veterinary Medicine Bucharest
114;Conditions the success of an agri-food sector is conditioned by the following factors;;0.09;Economics 101;Production chain;University of Agronomic Sciences and Veterinary Medicine Bucharest
115;32. What types of economic agents can be involved in the chain of agricultural and agri-food products;;0.61;Economics 101;Production chain;University of Agronomic Sciences and Veterinary Medicine Bucharest
116;There are situations in which agricultural producers and/or processing sectors substitute specialized intermediate economic agents , situations that arise due to;;0.97;Economics 101;Production chain;University of Agronomic Sciences and Veterinary Medicine Bucharest
117;The opportunities of a company fall into;;0.2;Management;Analysis;University of Pitesti
118;Agri-food marketing policies follow;;0.26;Economic Policies;Agricultural Policies;University of Agronomic Sciences and Veterinary Medicine Bucharest
119;The complexity of the economic-financial analysis is due to the fact that in the economy there are the following situations;;0.54;Management;Analysis;University of Pitesti
120;Economic-financial analysis development scheme includes;;0.11;Management;Analysis;University of Pitesti
121;The influencing factors according to their character in a causal relationship can be;;0.98;Management;Analysis;University of Pitesti
122;The economic-financial analysis assumes;;0.51;Management;Analysis;University of Pitesti
123;The influencing factors according to the intensity of their action can be;;0.77;Management;Analysis;University of Pitesti
124;Among the indicators used in the economic profitability analysis are:;;0.27;Management;Analysis;University of Pitesti
125;The most used methods in sociological analysis are;;0.83;Management;Analysis;University of Pitesti
126;Among the indicators used in establishing production  corresponding to the profitability threshold is counted;;0.53;Management;Analysis;University of Pitesti
127;Chain substitution of factors allows;;0.87;Management;Analysis;University of Pitesti
128;Comparison method it can be established;;0.28;Management;Analysis;University of Pitesti
129;Balancing method is applied if there is a relationship between the variables of a model;;0.3;Management;Analysis;University of Pitesti
130;The economic efficiency coefficients can be determined as follows;;0.42;Management;Analysis;University of Pitesti
131;Chain substitution method and the balance method are based on;;0.54;Management;Analysis;University of Pitesti
